
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15 | ; 2014-05-22 18:30:05; uid=20130916171725; uic=60; IP=46.216.64.166; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 19:51:16; uid=20140514203119; uic=238; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:02:00; uid=20140514203119; uic=242; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:02:02; uid=20140514203119; uic=243; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:02:21; uid=20140514203119; uic=244; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:02:44; uid=20140514203119; uic=245; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:03:43; uid=20140514203119; uic=247; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:03:46; uid=20140514203119; uic=248; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:04:17; uid=20140514203119; uic=249; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:05:36; uid=20140514203119; uic=250; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:05:39; uid=20140514203119; uic=251; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:06:24; uid=20140514203119; uic=252; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:06:27; uid=20140514203119; uic=253; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:07:20; uid=20140514203119; uic=254; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36 OPR/19.0.1326.63 | ; 2014-05-23 20:09:58; uid=20140313203836; uic=24; IP=178.124.201.201; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:15:31; uid=20140514203119; uic=256; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:16:05; uid=20140514203119; uic=257; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:16:33; uid=20140514203119; uic=258; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:16:53; uid=20140514203119; uic=259; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:17:52; uid=20140514203119; uic=262; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:18:38; uid=20140514203119; uic=263; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:19:27; uid=20140514203119; uic=264; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:20:36; uid=20140514203119; uic=265; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:21:03; uid=20140514203119; uic=266; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:21:48; uid=20140514203119; uic=267; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:24:20; uid=20140514203119; uic=268; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:24:24; uid=20140514203119; uic=269; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:42:22; uid=20140514203119; uic=270; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:42:44; uid=20140514203119; uic=271; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:42:47; uid=20140514203119; uic=272; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:43:04; uid=20140514203119; uic=273; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:43:37; uid=20140514203119; uic=274; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:44:37; uid=20140514203119; uic=275; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:45:00; uid=20140514203119; uic=276; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:45:33; uid=20140514203119; uic=277; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:45:51; uid=20140514203119; uic=278; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:46:09; uid=20140514203119; uic=279; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:50:29; uid=20140514203119; uic=280; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:50:44; uid=20140514203119; uic=281; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:52:14; uid=20140514203119; uic=282; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:52:18; uid=20140514203119; uic=283; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:52:40; uid=20140514203119; uic=284; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:54:04; uid=20140514203119; uic=285; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:54:06; uid=20140514203119; uic=286; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:54:28; uid=20140514203119; uic=287; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:55:44; uid=20140514203119; uic=288; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:56:17; uid=20140514203119; uic=289; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:56:19; uid=20140514203119; uic=290; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:56:33; uid=20140514203119; uic=291; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:56:56; uid=20140514203119; uic=292; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:57:48; uid=20140514203119; uic=293; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:58:08; uid=20140514203119; uic=294; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:59:55; uid=20140514203119; uic=295; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 20:59:58; uid=20140514203119; uic=296; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:00:13; uid=20140514203119; uic=297; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:00:15; uid=20140514203119; uic=298; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:00:36; uid=20140514203119; uic=299; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:01:24; uid=20140514203119; uic=300; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:01:43; uid=20140514203119; uic=301; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:01:56; uid=20140514203119; uic=302; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:05:16; uid=20140514203119; uic=303; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:05:34; uid=20140514203119; uic=304; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:06:07; uid=20140514203119; uic=305; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:06:33; uid=20140514203119; uic=306; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:06:51; uid=20140514203119; uic=307; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:07:11; uid=20140514203119; uic=308; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:08:16; uid=20140514203119; uic=309; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:08:36; uid=20140514203119; uic=310; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:11:52; uid=20140514203119; uic=311; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:12:47; uid=20140514203119; uic=312; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:12:49; uid=20140514203119; uic=313; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:13:04; uid=20140514203119; uic=314; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:14:01; uid=20140514203119; uic=315; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:14:23; uid=20140514203119; uic=316; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:14:41; uid=20140514203119; uic=317; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:14:53; uid=20140514203119; uic=318; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:15:12; uid=20140514203119; uic=319; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:15:52; uid=20140514203119; uic=320; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:16:32; uid=20140514203119; uic=322; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67 | ; 2014-05-23 21:19:37; uid=20140512155906; uic=20; IP=178.124.104.108; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67 | ; 2014-05-23 21:23:21; uid=20140512155906; uic=22; IP=178.124.104.108; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:28:27; uid=20140514203119; uic=328; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:30:19; uid=20140514203119; uic=329; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:31:01; uid=20140514203119; uic=330; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:31:07; uid=20140514203119; uic=331; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:31:37; uid=20140514203119; uic=332; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:31:59; uid=20140514203119; uic=333; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:33:09; uid=20140514203119; uic=334; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:33:33; uid=20140514203119; uic=335; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:34:59; uid=20140514203119; uic=336; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:35:14; uid=20140514203119; uic=337; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:35:28; uid=20140514203119; uic=338; IP=86.57.157.171; page=/ad-form/
Ошибка вход не выполнен.   | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36 | ; 2014-05-23 21:36:06; uid=20140523212712; uic=14; IP=46.53.193.180; page=/ad-form/
Ошибка вход не выполнен.   | Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.16 | ; 2014-05-23 21:39:37; uid=20140514203119; uic=339; IP=86.57.157.171; page=/ad-form/
